data_type,clim_tmean,dswe_dt_mean,dswe_dt_std
in_situ,-37,2.5135060241810074,4.4400107747090924
in_situ,-36,2.8642392716458516,4.688067120051641
in_situ,-35,3.796633668690708,4.12179160624473
in_situ,-34,5.3222848174355795,4.4754556075051255
in_situ,-33,6.505580346273458,3.5070910045766968
in_situ,-32,6.958354800881389,6.879860382559636
in_situ,-31,6.493857981789915,6.924392858033513
in_situ,-30,6.419464272360254,7.000915917330262
in_situ,-29,5.756693875411923,6.732395880728626
in_situ,-28,5.011763228659659,7.33051003697473
in_situ,-27,1.9820392748584013,5.255223815993954
in_situ,-26,2.2088155564352836,4.7240099287487
in_situ,-25,2.1749954265783544,6.477136950657232
in_situ,-24,-0.05172857932638596,13.497928991610095
in_situ,-23,-3.1598475546585756,15.187319382771308
in_situ,-22,-2.490401318820268,13.734230741591965
in_situ,-21,-3.988122339661304,14.634973120870873
in_situ,-20,-5.237872918656995,14.188780391538732
in_situ,-19,-5.060728629615886,11.360853310295633
in_situ,-18,-2.4590166759286967,9.87647760325467
in_situ,-17,-3.1650267817661817,10.677469408501455
in_situ,-16,-2.4822947451028248,8.987097210912909
in_situ,-15,-2.006384225693873,9.0470943273657
in_situ,-14,-2.573309514344427,12.296061543420338
in_situ,-13,-3.0551478066641984,10.85583526701464
in_situ,-12,-2.7909134553835653,10.160969131017401
in_situ,-11,-3.5354066978500422,13.107113282378702
in_situ,-10,-4.654897413921037,14.411511254519052
in_situ,-9,-5.410209630986707,13.705089382507582
in_situ,-8,-7.566888111407064,15.44157185783128
in_situ,-7,-8.47614228392136,14.84271356566699
in_situ,-6,-11.194503947380875,19.139169644463454
in_situ,-5,-14.737377599606532,21.917244677913654
in_situ,-4,-20.799322084153665,31.83949290173673
in_situ,-3,-26.911324361589923,38.346550995340586
in_situ,-2,-34.55477706950416,43.40857479717381
in_situ,-1,-45.385026084385025,47.37299201393021
in_situ,0,-52.48119022044229,52.01167197503228
in_situ,1,-57.53106103184572,51.32170544202655
in_situ,2,-60.247071766573235,50.28509040504268
in_situ,3,-60.25285896730814,50.953275876144815
gridded obs,-37,1.7976320180795449,5.05680305851177
gridded obs,-36,2.0398012482874934,5.481016834438152
gridded obs,-35,2.9450461733760154,5.672726104226919
gridded obs,-34,3.8366003532403865,5.89834794267144
gridded obs,-33,4.459502336975998,6.308324239341005
gridded obs,-32,4.323261299834041,6.026854682414012
gridded obs,-31,3.980607673595962,5.771146015960641
gridded obs,-30,3.5965958128528728,5.564781510528537
gridded obs,-29,3.126490634161099,5.353676950514819
gridded obs,-28,2.532237254872319,4.755071609104855
gridded obs,-27,2.1571384639456745,4.5615068125769955
gridded obs,-26,1.8761691924865889,4.584356579873104
gridded obs,-25,1.5665819506684309,4.802560246324404
gridded obs,-24,1.115173236867144,5.1461224129211915
gridded obs,-23,0.4535941425717137,5.636959029308524
gridded obs,-22,-0.18356828202263442,5.998945788173734
gridded obs,-21,-0.766894514837042,6.393786361190427
gridded obs,-20,-1.3901746593800008,6.8753537181580215
gridded obs,-19,-2.0165530098650275,7.462180227059462
gridded obs,-18,-2.6436937411445167,8.215217606365524
gridded obs,-17,-3.4267405167529597,9.351080263279258
gridded obs,-16,-4.289989186852378,10.483250215791562
gridded obs,-15,-5.098869474201332,11.617785906182133
gridded obs,-14,-5.914480425239552,12.799599096951455
gridded obs,-13,-6.35639769022777,13.402396537181485
gridded obs,-12,-6.80849200627828,13.746447747540808
gridded obs,-11,-7.262100678734568,14.00021107943449
gridded obs,-10,-8.065978153675779,14.210051733621528
gridded obs,-9,-9.357206763750632,14.540701524572262
gridded obs,-8,-11.470337261698507,15.395964677162123
gridded obs,-7,-14.180399460066836,16.4601272099116
gridded obs,-6,-17.370903954038443,17.462488107877984
gridded obs,-5,-21.100684183885924,18.529732553380022
gridded obs,-4,-25.481961034673816,20.068166441078237
gridded obs,-3,-30.16470641553909,21.626114503338595
gridded obs,-2,-34.06336203855797,22.62083820047245
gridded obs,-1,-37.5396572440923,23.881256506358117
gridded obs,0,-40.60346420264568,25.261213788798763
gridded obs,1,-43.14391802303103,26.73212154831233
gridded obs,2,-45.10928827157409,28.386953402398955
gridded obs,3,-47.05726716338358,30.377537324257823
clim_mod,-37,-0.038738352341116646,1.725051381991855
clim_mod,-36,-0.22434465578163634,2.762307839175517
clim_mod,-35,-0.17464474583334774,3.37408260437779
clim_mod,-34,-0.007525226768416442,3.6233799541215133
clim_mod,-33,0.13454166881893273,3.721320680220192
clim_mod,-32,0.43871123794159306,3.779924602712458
clim_mod,-31,0.8885587598442533,3.5783341098938477
clim_mod,-30,1.293920570002356,3.204497984405012
clim_mod,-29,1.4605579644372344,3.071356441203834
clim_mod,-28,1.5711710921204052,3.0280393898593783
clim_mod,-27,1.6904363906984363,3.0285063285660714
clim_mod,-26,1.8140569112014595,3.028224079727168
clim_mod,-25,1.867029480783214,3.1062167311017377
clim_mod,-24,1.845036142733394,3.494490626060953
clim_mod,-23,1.833453899337562,4.051247874920856
clim_mod,-22,1.538478284586227,5.026949987133309
clim_mod,-21,1.1002448008305141,5.943792770778018
clim_mod,-20,0.5763264036927092,6.8120528480044715
clim_mod,-19,0.09825958958034377,7.226827734317107
clim_mod,-18,-0.7171022477286471,7.778134342562194
clim_mod,-17,-1.2624102522947296,7.876337452588009
clim_mod,-16,-1.989402562189857,8.302453734110978
clim_mod,-15,-2.8236030028130084,8.718125655637122
clim_mod,-14,-3.7817855793057045,9.256356764947649
clim_mod,-13,-4.7046641640706754,9.790640960137484
clim_mod,-12,-5.730591307921735,10.344015967332949
clim_mod,-11,-7.082846328714671,10.966326778953343
clim_mod,-10,-8.540071312245862,11.62337477140579
clim_mod,-9,-10.2471455775068,12.127369260997234
clim_mod,-8,-12.553959813040565,12.873725417249752
clim_mod,-7,-15.512972620497933,13.772415242265568
clim_mod,-6,-18.939229503756636,14.81551451113519
clim_mod,-5,-22.830363217247193,15.929637321959612
clim_mod,-4,-27.320114046740976,17.348288564211995
clim_mod,-3,-31.63945829250339,18.809776953499284
clim_mod,-2,-36.01437721233684,20.77829132572708
clim_mod,-1,-39.09127762061313,23.424484125535688
clim_mod,0,-41.32817048204177,25.841082684496993
clim_mod,1,-42.04942599584133,28.741909627773147
clim_mod,2,-41.953653905573155,31.49785123601427
clim_mod,3,-40.81716336766931,34.03002036309275
recon,-37,4.2903511441008515,4.58088385464275
recon,-36,4.2903511441008515,4.58088385464275
recon,-35,5.5136981195420764,4.694379918409637
recon,-34,3.6117921983386734,4.0423204210158525
recon,-33,3.168436625789799,3.0432283836369356
recon,-32,3.86678136037826,3.3764255360035182
recon,-31,4.094510365562324,3.437266065821594
recon,-30,3.957757601773243,3.1427036351486994
recon,-29,4.491375439284843,3.087432425338052
recon,-28,4.700389649015778,2.925956692695876
recon,-27,4.198734896331342,1.9915468617984746
recon,-26,3.9571762285955603,1.2709085447150505
recon,-25,4.421670526936327,1.1959273234526708
recon,-24,4.666043312264578,1.1090766271398917
recon,-23,4.168063684724496,1.2899094113905678
recon,-22,3.360530471111125,1.4525853824128845
recon,-21,2.298920248393011,2.555917359792598
recon,-20,1.4023226592810067,2.8378884960488424
recon,-19,0.5151928686414804,3.590601505286896
recon,-18,-1.105602157644673,4.602202052350414
recon,-17,-2.1663194680624485,4.323576666668507
recon,-16,-2.225791003815963,4.190197796717324
recon,-15,-2.7656251543133528,4.756322296912549
recon,-14,-2.5881045409040992,4.539241447457173
recon,-13,-1.5124199525533895,4.732791757465415
recon,-12,-0.8959585337924184,5.1001840345665075
recon,-11,-1.030711432144565,5.242915348413309
recon,-10,-0.997481284235387,5.074378890843752
recon,-9,-1.8532025250822,6.104684923878836
recon,-8,-2.8182106472847153,6.900004467656729
recon,-7,-6.486048246823276,8.572068959859058
recon,-6,-8.958316393905902,9.118278966996332
recon,-5,-13.507557825920777,10.957066699774986
recon,-4,-18.523744525746466,10.787033817467403
recon,-3,-20.270329285934896,11.446523717193507
recon,-2,-24.62819358038511,12.096732705201395
recon,-1,-25.648051645348325,12.411708135366583
recon,0,-26.919898915588973,13.225847279778996
recon,1,-26.43981054945675,13.933048686382485
recon,2,-29.613422089296535,15.894633917378554
recon,3,-30.702542131198474,17.02424059664232
